Model,Experiment,bpp,ppl_wikitext2,ppl_c4,hellaswag,mathqa,openbookqa,pubmedqa,sciq,zeroshot,commonsense,average9,mmlu,average6,qat,mse,average,ppl_ptb,proxy_err,mse_normed,lambda,arc_challenge,arc_easy,boolq,piqa,winogrande,bpp_key
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search_seed3,2.592543309125024,,250.90777587890625,0.3808006373232424,,,,,0.630155706828262,0.5885965285774254,,0.5627403503774391,,,0.1572427106138638,,,0.0148811060993167,,50,0.3617747440273037,0.6965488215488216,0.7314984709480122,0.7279651795429815,0.632991318074191,2.592543
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search_seed3,3.120756258913331,,235.8211669921875,0.3970324636526588,,,,,0.64962752386335,0.6075283471615681,,0.4774248682523857,,,0.0758841215939073,,,0.0072820153906397,,100,0.4215017064846416,0.7390572390572391,0.6926605504587156,0.7366702937976061,0.6582478295185478,3.120756
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search_seed3,3.9120197874526905,,205.42340087890625,0.4051981676956781,,,,,0.675643240080608,0.6305690613497864,,0.5305512035322604,,,0.0256598677236604,,,0.0024543771983057,,300,0.447098976109215,0.7693602693602694,0.7685015290519878,0.7421109902067464,0.6511444356748224,3.91202
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search_seed3,4.740344253390795,,220.52169799804688,0.4203345947022505,,,,,0.6797475901164018,0.6365120908807099,,0.572639225181598,,,0.0091076371788564,,,0.0008601787731748,,1000,0.4428327645051194,0.7723063973063973,0.7706422018348624,0.749183895538629,0.6637726913970008,4.740344
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_normalization_search_seed3,5.888961207199475,,217.76638793945312,0.416849233220474,,,,,0.6830953554111433,0.6387210017126984,,0.5695769833357072,,,0.0021603891932223,,,0.0002145901849703,,10000,0.4539249146757679,0.7760942760942761,0.7620795107033639,0.7540805223068553,0.6692975532754538,5.888961
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm,2.2837807268517305,286.5212097167969,226.41357421875,0.3800039832702649,,,,,0.6292957253204159,0.5877471016453907,,0.4280017091582395,,,0.2630233502557947,,,0.025816220484206,,30,0.3660409556313993,0.7146464646464646,0.7134556574923547,0.7138193688792165,0.6385161799526441,2.283781
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm,2.6472652832709556,276.83935546875,213.16372680664065,0.3980282812188807,,,,,0.660239489082971,0.6165376211056226,,0.4824811280444381,,,0.1589590321825487,,,0.0156019722371946,,50,0.4163822525597269,0.7470538720538721,0.7532110091743119,0.7334058759521219,0.6511444356748224,2.647265
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm,3.1461747456166953,307.32379150390625,243.9165496826172,0.398725353515236,,,,,0.6645095408815831,0.6202121763205252,,0.4101267625694345,,,0.0754439169848587,,,0.0074683376436103,,100,0.4402730375426621,0.7571548821548821,0.7256880733944954,0.7459194776931447,0.6535122336227308,3.146175
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm,3.9325182317832494,275.1452331542969,216.5734405517578,0.4153555068711412,,,,,0.6783476139321376,0.6345155960886383,,0.5382424156103119,,,0.0271369929825068,,,0.0026207796001432,,300,0.4556313993174061,0.7731481481481481,0.7391437308868501,0.7513601741022851,0.6724546172059984,3.932518
GPT-OSS 20B,gpt-oss-20b_ql_ldlq64_rnorm,4.760546331883934,270.7284240722656,205.8501434326172,0.4141605257916749,,,,,0.6836294539914511,0.6387179659581551,,0.5743483834211651,,,0.0088133901096799,,,0.0008480059767689,,1000,0.4479522184300341,0.7777777777777778,0.7746177370030581,0.7524483133841132,0.665351223362273,4.760546
