/opt/conda/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
11:40:59 INFO - test: File name: 2, MSE: 0.14937828966018987, BPP: 2.46875
11:40:59 INFO - test: File name: 2, MSE: 0.14937828966018987, BPP: 2.46875
11:40:59 INFO - test: File name: 3, MSE: 0.17025348329163165, BPP: 2.6484375
11:40:59 INFO - test: File name: 3, MSE: 0.17025348329163165, BPP: 2.6484375
11:41:00 INFO - test: File name: 4, MSE: 0.14045137971259197, BPP: 2.375
11:41:00 INFO - test: File name: 4, MSE: 0.14045137971259197, BPP: 2.375
11:41:00 INFO - test: File name: 5, MSE: 0.15921852517047702, BPP: 2.609375
11:41:00 INFO - test: File name: 5, MSE: 0.15921852517047702, BPP: 2.609375
11:41:00 INFO - test: File name: 6, MSE: 0.14462158094418526, BPP: 2.5078125
11:41:00 INFO - test: File name: 6, MSE: 0.14462158094418526, BPP: 2.5078125
11:41:00 INFO - test: File name: 7, MSE: 0.14268405764958939, BPP: 2.4296875
11:41:00 INFO - test: File name: 7, MSE: 0.14268405764958939, BPP: 2.4296875
11:41:00 INFO - test: File name: 8, MSE: 0.1309126989978838, BPP: 2.3984375
11:41:00 INFO - test: File name: 8, MSE: 0.1309126989978838, BPP: 2.3984375
11:41:01 INFO - test: File name: 9, MSE: 0.13133345892564907, BPP: 2.359375
