col,sigma_c,no_transform_PR,scaling_PR,rht_PR,learned_llama_PR,learned_gauss_PR,random_init_PR
298,1.5533346,1.0,1.0,16.0,12.721477508544922,9.959588050842285,10.117502212524414
299,0.6620899,1.0,1.0,16.0,5.759841442108154,10.665360450744629,11.556792259216309
300,0.03955448,1.0,1.0,16.0,9.749807357788086,10.871421813964844,10.632790565490723
301,1.7511365,1.0,1.0,16.0,6.441043853759766,9.5386381149292,11.42593765258789
302,0.10507894,1.0,1.0,16.0,9.988057136535645,10.962541580200195,10.868558883666992
303,1.1001408,1.0,1.0,16.0,8.998520851135254,11.350857734680176,10.26092529296875
304,0.07361576,1.0,1.0,16.0,7.530074596405029,9.823479652404785,10.307552337646484
305,0.8223332,1.0,1.0,16.0,5.198486328125,13.023993492126465,10.948827743530273
306,0.7938686,1.0,1.0,16.0,5.765942096710205,9.975935935974121,10.910996437072754
307,0.031230615,1.0,1.0,16.0,8.385103225708008,8.551029205322266,11.041879653930664
308,0.08841395,1.0,1.0,16.0,7.78977108001709,11.21523380279541,10.347149848937988
